"Markettype","Trddt","Dnvaltrdtl"
"1","2014-11-10","244977203802.000"
"4","2014-11-10","155582384548.570"
"16","2014-11-10","34714323131.830"
"2","2014-11-11","59595839.000"
"8","2014-11-11","404080559.870"
"1","2014-11-11","330890266258.000"
"4","2014-11-11","198289796108.350"
"16","2014-11-11","44860280156.980"
"2","2014-11-12","66756477.000"
"8","2014-11-12","360539097.390"
"1","2014-11-12","215327383971.000"
"4","2014-11-12","126461345523.480"
"16","2014-11-12","32598974106.060"
"2","2014-11-13","50430198.000"
"8","2014-11-13","336867445.570"
"1","2014-11-13","258001255665.000"
"4","2014-11-13","155655521801.690"
"16","2014-11-13","37327690597.360"
"2","2014-11-14","47749109.000"
"8","2014-11-14","320549217.400"
"1","2014-11-14","191630849680.000"
"4","2014-11-14","118121683764.160"
"16","2014-11-14","28843269337.870"
"2","2014-11-17","41818099.000"
"8","2014-11-17","194668461.540"
"1","2014-11-17","199008144940.000"
"4","2014-11-17","121150532842.890"
"16","2014-11-17","29531921085.030"
"2","2014-11-18","25149710.000"
"8","2014-11-18","236995534.350"
"1","2014-11-18","174505074625.000"
"4","2014-11-18","113418545289.720"
"16","2014-11-18","26750094491.710"
"2","2014-11-19","22722606.000"
"8","2014-11-19","180462702.030"
"1","2014-11-19","166929856031.000"
"4","2014-11-19","122350833677.800"
"16","2014-11-19","33045878309.510"
"2","2014-11-20","21692139.000"
"8","2014-11-20","154953541.130"
"1","2014-11-20","150666723963.000"
"4","2014-11-20","108979831024.740"
"16","2014-11-20","31737737897.400"
"2","2014-11-21","36718014.000"
"8","2014-11-21","160846463.400"
"1","2014-11-21","197584348335.000"
"4","2014-11-21","134963852731.140"
"16","2014-11-21","32712544918.120"
"2","2014-11-24","62236147.000"
"8","2014-11-24","378397866.470"
"1","2014-11-24","329909357306.000"
"4","2014-11-24","206105741691.800"
"16","2014-11-24","38274613391.840"
"2","2014-11-25","129617198.000"
"8","2014-11-25","303970038.970"
"1","2014-11-25","281373121728.000"
"4","2014-11-25","195024774447.930"
"16","2014-11-25","46797196693.800"
"2","2014-11-26","77803521.000"
"8","2014-11-26","357431140.030"
"1","2014-11-26","316043644246.000"
"4","2014-11-26","202853345199.680"
"16","2014-11-26","46695690783.860"
"2","2014-11-27","59597291.000"
"8","2014-11-27","377632034.610"
"1","2014-11-27","338594980595.000"
"4","2014-11-27","221111809321.200"
"16","2014-11-27","49206325383.420"
"2","2014-11-28","68943252.000"
"8","2014-11-28","403256819.070"
"1","2014-11-28","401527945978.000"
"4","2014-11-28","243619879686.190"
"16","2014-11-28","54329825727.210"
"2","2014-12-01","69246595.000"
"8","2014-12-01","464301054.040"
"1","2014-12-01","400695396168.000"
"4","2014-12-01","228965438307.430"
"16","2014-12-01","49710891143.780"
"2","2014-12-02","55688419.000"
"8","2014-12-02","341929225.970"
"1","2014-12-02","396897294000.000"
"4","2014-12-02","217441492074.720"
"16","2014-12-02","48101085720.850"
"2","2014-12-03","73979675.000"
"8","2014-12-03","558404427.230"
"1","2014-12-03","529323624336.000"
"4","2014-12-03","301412210042.480"
"16","2014-12-03","66045598836.870"
"2","2014-12-04","88064421.000"
"8","2014-12-04","522252008.670"
"1","2014-12-04","508678341272.000"
"4","2014-12-04","299794887657.890"
"16","2014-12-04","59788687324.840"
"2","2014-12-05","99714309.000"
"8","2014-12-05","535402862.780"
"1","2014-12-05","638579311792.000"
"4","2014-12-05","348076241876.910"
"16","2014-12-05","62846477304.740"
"2","2014-12-08","88002970.000"
"8","2014-12-08","620164329.390"
"1","2014-12-08","592937948297.000"
"4","2014-12-08","310193647375.850"
"16","2014-12-08","56643539118.700"
"2","2014-12-09","129302399.000"
"8","2014-12-09","877157250.270"
"1","2014-12-09","792567709240.000"
"4","2014-12-09","388504782048.230"
"16","2014-12-09","61334166410.130"
"2","2014-12-10","90199871.000"
"8","2014-12-10","472338126.040"
"1","2014-12-10","534436371314.000"
"4","2014-12-10","253855023109.370"
"16","2014-12-10","50381883987.290"
"2","2014-12-11","103076997.000"
"8","2014-12-11","716128783.510"
"1","2014-12-11","479168830177.000"
"4","2014-12-11","249262806225.400"
"16","2014-12-11","46450766666.300"
"2","2014-12-12","80455868.000"
"8","2014-12-12","426181142.250"
"1","2014-12-12","419916468200.000"
"4","2014-12-12","216167538693.740"
"16","2014-12-12","46398451136.480"
"2","2014-12-15","90094847.000"
"8","2014-12-15","377544392.110"
"1","2014-12-15","410935905781.000"
"4","2014-12-15","235034010666.970"
"16","2014-12-15","49688519631.160"
"2","2014-12-16","66884961.000"
"8","2014-12-16","245455180.620"
"1","2014-12-16","492306954806.000"
"4","2014-12-16","238862580065.920"
"16","2014-12-16","44942322108.910"
"2","2014-12-17","79309143.000"
"8","2014-12-17","369704199.920"
"1","2014-12-17","579853359855.000"
"4","2014-12-17","264010339530.730"
"16","2014-12-17","45344461445.010"
"2","2014-12-18","71120311.000"
"8","2014-12-18","313518910.060"
"1","2014-12-18","466089383782.000"
"4","2014-12-18","214558040258.480"
"16","2014-12-18","39560752439.530"
"2","2014-12-19","95458121.000"
"8","2014-12-19","401868465.910"
"1","2014-12-19","514996237333.000"
"4","2014-12-19","227947973491.680"
"16","2014-12-19","41436058966.590"
"2","2014-12-22","91940199.000"
"8","2014-12-22","439155198.450"
"1","2014-12-22","623918764221.000"
"4","2014-12-22","251126790357.510"
"16","2014-12-22","41640430049.750"
"2","2014-12-23","56446573.000"
"8","2014-12-23","286997791.650"
"1","2014-12-23","419122219751.000"
"4","2014-12-23","173226155375.820"
"16","2014-12-23","32707217384.700"
"2","2014-12-24","41783149.000"
"8","2014-12-24","267418685.700"
"1","2014-12-24","378471022913.000"
"4","2014-12-24","162163777430.340"
"16","2014-12-24","29425822446.420"
"2","2014-12-25","42887684.000"
"8","2014-12-25","153438571.470"
"1","2014-12-25","378755206856.000"
"4","2014-12-25","158386156042.390"
"16","2014-12-25","30177664889.330"
"2","2014-12-26","72670964.000"
"8","2014-12-26","190602988.650"
"1","2014-12-26","488470319264.000"
"4","2014-12-26","192005705296.960"
"16","2014-12-26","28996109056.970"
"2","2014-12-29","85370926.000"
"8","2014-12-29","427978450.060"
"1","2014-12-29","555382004901.000"
"4","2014-12-29","224517729394.780"
"16","2014-12-29","36797177095.490"
"2","2014-12-30","41143144.000"
"8","2014-12-30","464916220.130"
"1","2014-12-30","437011515120.000"
"4","2014-12-30","184384587583.470"
"16","2014-12-30","33609266226.110"
"2","2014-12-31","46451565.000"
"8","2014-12-31","304998599.900"
"1","2014-12-31","432035625469.000"
"4","2014-12-31","178940401066.900"
"16","2014-12-31","28909641512.680"
"2","2015-01-05","73714109.000"
"8","2015-01-05","586379351.200"
"1","2015-01-05","549309049765.000"
"4","2015-01-05","243029409563.660"
"16","2015-01-05","34433373199.640"
"2","2015-01-06","62207591.000"
"8","2015-01-06","483234391.770"
"1","2015-01-06","532017815595.000"
"4","2015-01-06","239915105559.650"
"16","2015-01-06","47275858201.940"
"2","2015-01-07","58414908.000"
"8","2015-01-07","332896337.800"
"1","2015-01-07","436059258112.000"
"4","2015-01-07","190720519927.890"
"16","2015-01-07","37899425703.190"
"2","2015-01-08","56593946.000"
"8","2015-01-08","448432287.280"
"1","2015-01-08","398883999092.000"
"4","2015-01-08","182689611769.120"
"16","2015-01-08","39204134759.180"
"2","2015-01-09","42439794.000"
"8","2015-01-09","510416001.210"
"1","2015-01-09","458388323499.000"
"4","2015-01-09","184514801065.310"
"16","2015-01-09","40919947100.250"
"2","2015-01-12","59497607.000"
"8","2015-01-12","369958559.500"
"1","2015-01-12","365908362982.000"
"4","2015-01-12","154877945163.320"
"16","2015-01-12","35995716766.020"
"2","2015-01-13","35652854.000"
"8","2015-01-13","222884580.350"
"1","2015-01-13","273370236072.000"
"4","2015-01-13","145740968079.850"
"16","2015-01-13","40398033307.400"
"2","2015-01-14","30200994.000"
"8","2015-01-14","195678283.180"
"1","2015-01-14","267019408488.000"
"4","2015-01-14","145093325877.120"
"16","2015-01-14","34749377180.560"
"2","2015-01-15","46046822.000"
"8","2015-01-15","238838895.420"
